accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.476,1e-05,919,885,2,2,0.0001,1804,19
0.476,1e-05,959,945,2,2,0.0001,1904,19
0.476,1e-05,1011,993,2,2,0.0001,2004,19
0.45,1e-05,49,55,2,2,0.0001,104,20
0.454,1e-05,101,103,2,2,0.0001,204,20
0.454,1e-05,156,148,2,2,0.0001,304,20
0.454,1e-05,214,190,2,2,0.0001,404,20
0.454,1e-05,263,241,2,2,0.0001,504,20
0.454,1e-05,314,290,2,2,0.0001,604,20
0.454,1e-05,360,344,2,2,0.0001,704,20
0.452,1e-05,411,393,2,2,0.0001,804,20
0.452,1e-05,452,452,2,2,0.0001,904,20
0.452,1e-05,499,505,2,2,0.0001,1004,20
0.452,1e-05,558,546,2,2,0.0001,1104,20
0.452,1e-05,594,610,2,2,0.0001,1204,20
0.45,1e-05,645,659,2,2,0.0001,1304,20
0.45,1e-05,692,712,2,2,0.0001,1404,20
0.452,1e-05,748,756,2,2,0.0001,1504,20
0.456,1e-05,795,809,2,2,0.0001,1604,20
0.458,1e-05,848,856,2,2,0.0001,1704,20
0.458,1e-05,893,911,2,2,0.0001,1804,20
0.46,1e-05,948,956,2,2,0.0001,1904,20
0.458,1e-05,994,1010,2,2,0.0001,2004,20
0.516,1e-05,50,54,2,2,0.001,104,1
0.516,1e-05,101,103,2,2,0.001,204,1
0.516,1e-05,156,148,2,2,0.001,304,1
0.516,1e-05,200,204,2,2,0.001,404,1
0.516,1e-05,246,258,2,2,0.001,504,1
0.516,1e-05,298,306,2,2,0.001,604,1
0.516,1e-05,353,351,2,2,0.001,704,1
0.516,1e-05,405,399,2,2,0.001,804,1
0.516,1e-05,454,450,2,2,0.001,904,1
0.516,1e-05,505,499,2,2,0.001,1004,1
0.516,1e-05,560,544,2,2,0.001,1104,1
0.516,1e-05,610,594,2,2,0.001,1204,1
0.516,1e-05,660,644,2,2,0.001,1304,1
0.516,1e-05,710,694,2,2,0.001,1404,1
0.516,1e-05,758,746,2,2,0.001,1504,1
0.516,1e-05,805,799,2,2,0.001,1604,1
0.516,1e-05,857,847,2,2,0.001,1704,1
0.516,1e-05,902,902,2,2,0.001,1804,1
0.516,1e-05,952,952,2,2,0.001,1904,1
0.516,1e-05,994,1010,2,2,0.001,2004,1
0.478,1e-05,48,56,2,2,0.001,104,2
0.474,1e-05,102,102,2,2,0.001,204,2
0.476,1e-05,149,155,2,2,0.001,304,2
0.48,1e-05,199,205,2,2,0.001,404,2
0.482,1e-05,248,256,2,2,0.001,504,2
0.48,1e-05,301,303,2,2,0.001,604,2
0.474,1e-05,362,342,2,2,0.001,704,2
0.474,1e-05,411,393,2,2,0.001,804,2
0.48,1e-05,462,442,2,2,0.001,904,2
0.486,1e-05,515,489,2,2,0.001,1004,2
0.484,1e-05,563,541,2,2,0.001,1104,2
0.476,1e-05,611,593,2,2,0.001,1204,2
0.488,1e-05,655,649,2,2,0.001,1304,2
0.494,1e-05,704,700,2,2,0.001,1404,2
0.49,1e-05,760,744,2,2,0.001,1504,2
0.498,1e-05,810,794,2,2,0.001,1604,2
0.494,1e-05,864,840,2,2,0.001,1704,2
0.498,1e-05,915,889,2,2,0.001,1804,2
0.5,1e-05,973,931,2,2,0.001,1904,2
0.498,1e-05,1018,986,2,2,0.001,2004,2
0.476,1e-05,58,46,2,2,0.001,104,3
0.476,1e-05,110,94,2,2,0.001,204,3
0.476,1e-05,156,148,2,2,0.001,304,3
0.474,1e-05,208,196,2,2,0.001,404,3
0.474,1e-05,261,243,2,2,0.001,504,3
0.472,1e-05,312,292,2,2,0.001,604,3
0.47,1e-05,365,339,2,2,0.001,704,3
0.468,1e-05,418,386,2,2,0.001,804,3
0.464,1e-05,468,436,2,2,0.001,904,3
0.464,1e-05,518,486,2,2,0.001,1004,3
0.464,1e-05,567,537,2,2,0.001,1104,3
0.462,1e-05,616,588,2,2,0.001,1204,3
0.462,1e-05,663,641,2,2,0.001,1304,3
0.46,1e-05,720,684,2,2,0.001,1404,3
0.46,1e-05,766,738,2,2,0.001,1504,3
0.458,1e-05,819,785,2,2,0.001,1604,3
0.452,1e-05,870,834,2,2,0.001,1704,3
0.448,1e-05,918,886,2,2,0.001,1804,3
0.442,1e-05,965,939,2,2,0.001,1904,3
0.44,1e-05,1007,997,2,2,0.001,2004,3
0.506,1e-05,51,53,2,2,0.001,104,4
0.506,1e-05,104,100,2,2,0.001,204,4
0.506,1e-05,146,158,2,2,0.001,304,4
0.506,1e-05,193,211,2,2,0.001,404,4
0.506,1e-05,242,262,2,2,0.001,504,4
0.506,1e-05,295,309,2,2,0.001,604,4
0.506,1e-05,351,353,2,2,0.001,704,4
0.506,1e-05,408,396,2,2,0.001,804,4
0.506,1e-05,452,452,2,2,0.001,904,4
0.506,1e-05,505,499,2,2,0.001,1004,4
0.506,1e-05,553,551,2,2,0.001,1104,4
0.506,1e-05,598,606,2,2,0.001,1204,4
0.506,1e-05,651,653,2,2,0.001,1304,4
0.506,1e-05,697,707,2,2,0.001,1404,4
0.506,1e-05,752,752,2,2,0.001,1504,4
0.506,1e-05,796,808,2,2,0.001,1604,4
0.506,1e-05,847,857,2,2,0.001,1704,4
0.506,1e-05,900,904,2,2,0.001,1804,4
