accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.546,0.0001,347,357,25,10,0.998,50,0.01,1,10,10,704,12
0.592,0.0001,393,411,25,10,0.998,50,0.01,1,10,10,804,12
0.618,0.0001,443,461,25,10,0.998,50,0.01,1,10,10,904,12
0.674,0.0001,498,506,25,10,0.998,50,0.01,1,10,10,1004,12
0.71,0.0001,551,553,25,10,0.998,50,0.01,1,10,10,1104,12
0.786,0.0001,603,601,25,10,0.998,50,0.01,1,10,10,1204,12
0.844,0.0001,657,647,25,10,0.998,50,0.01,1,10,10,1304,12
0.902,0.0001,711,693,25,10,0.998,50,0.01,1,10,10,1404,12
0.926,0.0001,760,744,25,10,0.998,50,0.01,1,10,10,1504,12
0.94,0.0001,808,796,25,10,0.998,50,0.01,1,10,10,1604,12
0.956,0.0001,860,844,25,10,0.998,50,0.01,1,10,10,1704,12
0.976,0.0001,912,892,25,10,0.998,50,0.01,1,10,10,1804,12
0.974,0.0001,955,949,25,10,0.998,50,0.01,1,10,10,1904,12
0.512,0.0001,0,0,25,10,0.999,50,0.01,1,10,10,0,13
0.598,0.0001,54,50,25,10,0.999,50,0.01,1,10,10,104,13
0.564,0.0001,103,101,25,10,0.999,50,0.01,1,10,10,204,13
0.556,0.0001,152,152,25,10,0.999,50,0.01,1,10,10,304,13
0.668,0.0001,203,201,25,10,0.999,50,0.01,1,10,10,404,13
0.682,0.0001,254,250,25,10,0.999,50,0.01,1,10,10,504,13
0.714,0.0001,304,300,25,10,0.999,50,0.01,1,10,10,604,13
0.764,0.0001,356,348,25,10,0.999,50,0.01,1,10,10,704,13
0.812,0.0001,408,396,25,10,0.999,50,0.01,1,10,10,804,13
0.836,0.0001,457,447,25,10,0.999,50,0.01,1,10,10,904,13
0.862,0.0001,505,499,25,10,0.999,50,0.01,1,10,10,1004,13
0.89,0.0001,558,546,25,10,0.999,50,0.01,1,10,10,1104,13
0.91,0.0001,611,593,25,10,0.999,50,0.01,1,10,10,1204,13
0.934,0.0001,659,645,25,10,0.999,50,0.01,1,10,10,1304,13
0.934,0.0001,710,694,25,10,0.999,50,0.01,1,10,10,1404,13
0.948,0.0001,764,740,25,10,0.999,50,0.01,1,10,10,1504,13
0.946,0.0001,812,792,25,10,0.999,50,0.01,1,10,10,1604,13
0.954,0.0001,858,846,25,10,0.999,50,0.01,1,10,10,1704,13
0.96,0.0001,904,900,25,10,0.999,50,0.01,1,10,10,1804,13
0.966,0.0001,962,942,25,10,0.999,50,0.01,1,10,10,1904,13
0.512,0.0001,0,0,25,10,0.998,50,0.01,1,10,10,0,14
0.612,0.0001,58,46,25,10,0.998,50,0.01,1,10,10,104,14
0.518,0.0001,107,97,25,10,0.998,50,0.01,1,10,10,204,14
0.624,0.0001,152,152,25,10,0.998,50,0.01,1,10,10,304,14
0.658,0.0001,198,206,25,10,0.998,50,0.01,1,10,10,404,14
0.652,0.0001,245,259,25,10,0.998,50,0.01,1,10,10,504,14
0.708,0.0001,293,311,25,10,0.998,50,0.01,1,10,10,604,14
0.766,0.0001,342,362,25,10,0.998,50,0.01,1,10,10,704,14
0.826,0.0001,393,411,25,10,0.998,50,0.01,1,10,10,804,14
0.858,0.0001,437,467,25,10,0.998,50,0.01,1,10,10,904,14
0.884,0.0001,478,526,25,10,0.998,50,0.01,1,10,10,1004,14
0.92,0.0001,533,571,25,10,0.998,50,0.01,1,10,10,1104,14
0.942,0.0001,587,617,25,10,0.998,50,0.01,1,10,10,1204,14
0.95,0.0001,636,668,25,10,0.998,50,0.01,1,10,10,1304,14
0.952,0.0001,690,714,25,10,0.998,50,0.01,1,10,10,1404,14
0.954,0.0001,738,766,25,10,0.998,50,0.01,1,10,10,1504,14
0.964,0.0001,788,816,25,10,0.998,50,0.01,1,10,10,1604,14
0.966,0.0001,847,857,25,10,0.998,50,0.01,1,10,10,1704,14
0.97,0.0001,896,908,25,10,0.998,50,0.01,1,10,10,1804,14
0.982,0.0001,953,951,25,10,0.998,50,0.01,1,10,10,1904,14
0.484,0.0001,0,0,25,10,1.0,50,0.01,1,10,10,0,15
0.55,0.0001,47,57,25,10,1.0,50,0.01,1,10,10,104,15
0.55,0.0001,95,109,25,10,1.0,50,0.01,1,10,10,204,15
0.57,0.0001,142,162,25,10,1.0,50,0.01,1,10,10,304,15
0.598,0.0001,192,212,25,10,1.0,50,0.01,1,10,10,404,15
0.64,0.0001,245,259,25,10,1.0,50,0.01,1,10,10,504,15
0.64,0.0001,289,315,25,10,1.0,50,0.01,1,10,10,604,15
0.69,0.0001,347,357,25,10,1.0,50,0.01,1,10,10,704,15
0.706,0.0001,401,403,25,10,1.0,50,0.01,1,10,10,804,15
0.768,0.0001,447,457,25,10,1.0,50,0.01,1,10,10,904,15
0.814,0.0001,495,509,25,10,1.0,50,0.01,1,10,10,1004,15
0.852,0.0001,548,556,25,10,1.0,50,0.01,1,10,10,1104,15
0.894,0.0001,594,610,25,10,1.0,50,0.01,1,10,10,1204,15
0.922,0.0001,649,655,25,10,1.0,50,0.01,1,10,10,1304,15
0.93,0.0001,696,708,25,10,1.0,50,0.01,1,10,10,1404,15
0.946,0.0001,744,760,25,10,1.0,50,0.01,1,10,10,1504,15
0.952,0.0001,807,797,25,10,1.0,50,0.01,1,10,10,1604,15
0.956,0.0001,858,846,25,10,1.0,50,0.01,1,10,10,1704,15
0.962,0.0001,913,891,25,10,1.0,50,0.01,1,10,10,1804,15
0.96,0.0001,968,936,25,10,1.0,50,0.01,1,10,10,1904,15
0.514,0.0001,0,0,25,10,0.997,50,0.01,1,10,10,0,16
0.576,0.0001,54,50,25,10,0.997,50,0.01,1,10,10,104,16
0.542,0.0001,103,101,25,10,0.997,50,0.01,1,10,10,204,16
0.604,0.0001,154,150,25,10,0.997,50,0.01,1,10,10,304,16
0.614,0.0001,210,194,25,10,0.997,50,0.01,1,10,10,404,16
0.634,0.0001,266,238,25,10,0.997,50,0.01,1,10,10,504,16
0.664,0.0001,315,289,25,10,0.997,50,0.01,1,10,10,604,16
0.702,0.0001,359,345,25,10,0.997,50,0.01,1,10,10,704,16
0.774,0.0001,404,400,25,10,0.997,50,0.01,1,10,10,804,16
0.824,0.0001,458,446,25,10,0.997,50,0.01,1,10,10,904,16
0.858,0.0001,505,499,25,10,0.997,50,0.01,1,10,10,1004,16
0.924,0.0001,559,545,25,10,0.997,50,0.01,1,10,10,1104,16
0.948,0.0001,608,596,25,10,0.997,50,0.01,1,10,10,1204,16
0.96,0.0001,655,649,25,10,0.997,50,0.01,1,10,10,1304,16
0.97,0.0001,705,699,25,10,0.997,50,0.01,1,10,10,1404,16
0.976,0.0001,752,752,25,10,0.997,50,0.01,1,10,10,1504,16
0.978,0.0001,803,801,25,10,0.997,50,0.01,1,10,10,1604,16
0.984,0.0001,851,853,25,10,0.997,50,0.01,1,10,10,1704,16
0.98,0.0001,901,903,25,10,0.997,50,0.01,1,10,10,1804,16
0.982,0.0001,953,951,25,10,0.997,50,0.01,1,10,10,1904,16
0.492,0.0001,0,0,25,10,0.999,50,0.01,1,10,10,0,17
0.596,0.0001,57,47,25,10,0.999,50,0.01,1,10,10,104,17
0.56,0.0001,113,91,25,10,0.999,50,0.01,1,10,10,204,17
0.566,0.0001,159,145,25,10,0.999,50,0.01,1,10,10,304,17
0.604,0.0001,208,196,25,10,0.999,50,0.01,1,10,10,404,17
0.612,0.0001,259,245,25,10,0.999,50,0.01,1,10,10,504,17
0.662,0.0001,310,294,25,10,0.999,50,0.01,1,10,10,604,17
