trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
11,65104,2,2,1e-05,0.0001,0.5,32552
12,65104,2,2,1e-05,0.0001,0.5,32613
13,65104,2,2,1e-05,0.0001,0.522,32526
14,65104,2,2,1e-05,0.0001,0.498,32510
15,65104,2,2,1e-05,0.0001,0.498,32413
16,65104,2,2,1e-05,0.0001,0.5,32668
17,65104,2,2,1e-05,0.0001,0.5,32629
18,65104,2,2,1e-05,0.0001,0.5,32664
19,65104,2,2,1e-05,0.0001,0.5,32560
20,65104,2,2,1e-05,0.0001,0.5,32509
1,70104,2,2,1e-05,0.0001,0.5,35075
2,70104,2,2,1e-05,0.0001,0.5,35034
3,70104,2,2,1e-05,0.0001,0.5,34985
4,70104,2,2,1e-05,0.0001,0.49200000000000005,34967
5,70104,2,2,1e-05,0.0001,0.5,34896
6,70104,2,2,1e-05,0.0001,0.498,35143
7,70104,2,2,1e-05,0.0001,0.524,35082
8,70104,2,2,1e-05,0.0001,0.496,35123
9,70104,2,2,1e-05,0.0001,0.504,34928
10,70104,2,2,1e-05,0.0001,0.47200000000000003,35061
11,70104,2,2,1e-05,0.0001,0.508,35051
12,70104,2,2,1e-05,0.0001,0.5,35100
13,70104,2,2,1e-05,0.0001,0.522,35002
14,70104,2,2,1e-05,0.0001,0.484,35042
15,70104,2,2,1e-05,0.0001,0.5,34927
16,70104,2,2,1e-05,0.0001,0.5,35163
17,70104,2,2,1e-05,0.0001,0.5,35118
18,70104,2,2,1e-05,0.0001,0.5,35154
19,70104,2,2,1e-05,0.0001,0.5,35050
20,70104,2,2,1e-05,0.0001,0.5,34988
1,75104,2,2,1e-05,0.0001,0.5,37571
2,75104,2,2,1e-05,0.0001,0.5,37528
3,75104,2,2,1e-05,0.0001,0.5,37506
4,75104,2,2,1e-05,0.0001,0.49,37539
5,75104,2,2,1e-05,0.0001,0.5,37440
6,75104,2,2,1e-05,0.0001,0.508,37678
7,75104,2,2,1e-05,0.0001,0.522,37540
8,75104,2,2,1e-05,0.0001,0.51,37620
9,75104,2,2,1e-05,0.0001,0.504,37423
10,75104,2,2,1e-05,0.0001,0.46399999999999997,37515
11,75104,2,2,1e-05,0.0001,0.51,37571
12,75104,2,2,1e-05,0.0001,0.5,37597
13,75104,2,2,1e-05,0.0001,0.528,37534
14,75104,2,2,1e-05,0.0001,0.49200000000000005,37583
15,75104,2,2,1e-05,0.0001,0.5,37435
16,75104,2,2,1e-05,0.0001,0.5,37606
17,75104,2,2,1e-05,0.0001,0.5,37678
18,75104,2,2,1e-05,0.0001,0.5,37683
19,75104,2,2,1e-05,0.0001,0.5,37537
20,75104,2,2,1e-05,0.0001,0.5,37553
1,80104,2,2,1e-05,0.0001,0.5,40046
2,80104,2,2,1e-05,0.0001,0.5,40099
3,80104,2,2,1e-05,0.0001,0.5,39986
4,80104,2,2,1e-05,0.0001,0.498,40036
5,80104,2,2,1e-05,0.0001,0.5,39960
6,80104,2,2,1e-05,0.0001,0.49,40149
7,80104,2,2,1e-05,0.0001,0.52,40121
8,80104,2,2,1e-05,0.0001,0.514,40057
9,80104,2,2,1e-05,0.0001,0.512,39934
10,80104,2,2,1e-05,0.0001,0.48200000000000004,40024
11,80104,2,2,1e-05,0.0001,0.51,40071
12,80104,2,2,1e-05,0.0001,0.5,40092
13,80104,2,2,1e-05,0.0001,0.528,40031
14,80104,2,2,1e-05,0.0001,0.496,40048
15,80104,2,2,1e-05,0.0001,0.498,40001
16,80104,2,2,1e-05,0.0001,0.504,40110
17,80104,2,2,1e-05,0.0001,0.5,40134
18,80104,2,2,1e-05,0.0001,0.5,40105
19,80104,2,2,1e-05,0.0001,0.5,40041
20,80104,2,2,1e-05,0.0001,0.5,40020
1,85104,2,2,1e-05,0.0001,0.5,42589
2,85104,2,2,1e-05,0.0001,0.5,42589
3,85104,2,2,1e-05,0.0001,0.5,42512
4,85104,2,2,1e-05,0.0001,0.486,42555
5,85104,2,2,1e-05,0.0001,0.5,42523
6,85104,2,2,1e-05,0.0001,0.496,42646
7,85104,2,2,1e-05,0.0001,0.53,42591
8,85104,2,2,1e-05,0.0001,0.512,42590
9,85104,2,2,1e-05,0.0001,0.506,42478
10,85104,2,2,1e-05,0.0001,0.47600000000000003,42570
11,85104,2,2,1e-05,0.0001,0.506,42572
12,85104,2,2,1e-05,0.0001,0.5,42550
13,85104,2,2,1e-05,0.0001,0.53,42544
14,85104,2,2,1e-05,0.0001,0.49200000000000005,42492
15,85104,2,2,1e-05,0.0001,0.498,42549
16,85104,2,2,1e-05,0.0001,0.512,42593
17,85104,2,2,1e-05,0.0001,0.5,42635
18,85104,2,2,1e-05,0.0001,0.5,42569
19,85104,2,2,1e-05,0.0001,0.5,42513
20,85104,2,2,1e-05,0.0001,0.5,42497
1,90104,2,2,1e-05,0.0001,0.5,45042
2,90104,2,2,1e-05,0.0001,0.5,45042
3,90104,2,2,1e-05,0.0001,0.5,45003
4,90104,2,2,1e-05,0.0001,0.484,45056
5,90104,2,2,1e-05,0.0001,0.5,45058
6,90104,2,2,1e-05,0.0001,0.49200000000000005,45102
7,90104,2,2,1e-05,0.0001,0.532,45092
8,90104,2,2,1e-05,0.0001,0.51,45091
9,90104,2,2,1e-05,0.0001,0.51,44949
10,90104,2,2,1e-05,0.0001,0.478,45048
11,90104,2,2,1e-05,0.0001,0.504,45047
12,90104,2,2,1e-05,0.0001,0.5,45020
13,90104,2,2,1e-05,0.0001,0.536,45054
14,90104,2,2,1e-05,0.0001,0.496,45012
15,90104,2,2,1e-05,0.0001,0.496,45054
16,90104,2,2,1e-05,0.0001,0.516,45084
17,90104,2,2,1e-05,0.0001,0.5,45078
18,90104,2,2,1e-05,0.0001,0.5,45081
19,90104,2,2,1e-05,0.0001,0.5,45046
20,90104,2,2,1e-05,0.0001,0.5,45046
1,95104,2,2,1e-05,0.0001,0.5,47552
2,95104,2,2,1e-05,0.0001,0.5,47552
3,95104,2,2,1e-05,0.0001,0.5,47552
4,95104,2,2,1e-05,0.0001,0.484,47552
5,95104,2,2,1e-05,0.0001,0.5,47552
6,95104,2,2,1e-05,0.0001,0.49,47552
7,95104,2,2,1e-05,0.0001,0.522,47552
8,95104,2,2,1e-05,0.0001,0.504,47552
9,95104,2,2,1e-05,0.0001,0.51,47552
10,95104,2,2,1e-05,0.0001,0.498,47552
11,95104,2,2,1e-05,0.0001,0.512,47552
12,95104,2,2,1e-05,0.0001,0.5,47552
13,95104,2,2,1e-05,0.0001,0.5379999999999999,47552
14,95104,2,2,1e-05,0.0001,0.494,47552
15,95104,2,2,1e-05,0.0001,0.498,47552
16,95104,2,2,1e-05,0.0001,0.506,47552
17,95104,2,2,1e-05,0.0001,0.5,47552
18,95104,2,2,1e-05,0.0001,0.5,47552
19,95104,2,2,1e-05,0.0001,0.5,47552
20,95104,2,2,1e-05,0.0001,0.5,47552
1,4,2,2,1e-05,0.001,0.5,4
2,4,2,2,1e-05,0.001,0.502,4
3,4,2,2,1e-05,0.001,0.5,4
4,4,2,2,1e-05,0.001,0.5,4
5,4,2,2,1e-05,0.001,0.5,4
6,4,2,2,1e-05,0.001,0.5,4
7,4,2,2,1e-05,0.001,0.5,4
8,4,2,2,1e-05,0.001,0.546,4
9,4,2,2,1e-05,0.001,0.5,4
10,4,2,2,1e-05,0.001,0.5,4
11,4,2,2,1e-05,0.001,0.5,4
12,4,2,2,1e-05,0.001,0.502,4
13,4,2,2,1e-05,0.001,0.5,4
14,4,2,2,1e-05,0.001,0.504,4
15,4,2,2,1e-05,0.001,0.498,4
16,4,2,2,1e-05,0.001,0.516,4
17,4,2,2,1e-05,0.001,0.5,4
18,4,2,2,1e-05,0.001,0.496,4
19,4,2,2,1e-05,0.001,0.5,4
20,4,2,2,1e-05,0.001,0.5,4
1,40,2,2,1e-05,0.001,0.504,14
2,40,2,2,1e-05,0.001,0.502,20
3,40,2,2,1e-05,0.001,0.5,19
4,40,2,2,1e-05,0.001,0.5,20
5,40,2,2,1e-05,0.001,0.5,21
6,40,2,2,1e-05,0.001,0.5,19
7,40,2,2,1e-05,0.001,0.5,22
8,40,2,2,1e-05,0.001,0.546,20
9,40,2,2,1e-05,0.001,0.5,28
10,40,2,2,1e-05,0.001,0.5,17
11,40,2,2,1e-05,0.001,0.5,22
12,40,2,2,1e-05,0.001,0.502,24
13,40,2,2,1e-05,0.001,0.5,20
14,40,2,2,1e-05,0.001,0.504,12
15,40,2,2,1e-05,0.001,0.498,21
16,40,2,2,1e-05,0.001,0.516,22
17,40,2,2,1e-05,0.001,0.5,18
18,40,2,2,1e-05,0.001,0.498,17
19,40,2,2,1e-05,0.001,0.5,17
20,40,2,2,1e-05,0.001,0.5,23
1,104,2,2,1e-05,0.001,0.506,48
2,104,2,2,1e-05,0.001,0.502,51
3,104,2,2,1e-05,0.001,0.5,51
4,104,2,2,1e-05,0.001,0.5,51
5,104,2,2,1e-05,0.001,0.5,50
6,104,2,2,1e-05,0.001,0.5,53
7,104,2,2,1e-05,0.001,0.5,56
8,104,2,2,1e-05,0.001,0.546,54
9,104,2,2,1e-05,0.001,0.5,55
10,104,2,2,1e-05,0.001,0.5,51
11,104,2,2,1e-05,0.001,0.5,56
12,104,2,2,1e-05,0.001,0.502,58
13,104,2,2,1e-05,0.001,0.5,50
14,104,2,2,1e-05,0.001,0.5,44
15,104,2,2,1e-05,0.001,0.498,53
16,104,2,2,1e-05,0.001,0.516,55
17,104,2,2,1e-05,0.001,0.5,56
18,104,2,2,1e-05,0.001,0.498,52
19,104,2,2,1e-05,0.001,0.5,49
20,104,2,2,1e-05,0.001,0.5,62
1,5104,2,2,1e-05,0.001,0.478,2520
2,5104,2,2,1e-05,0.001,0.51,2561
3,5104,2,2,1e-05,0.001,0.5,2532
4,5104,2,2,1e-05,0.001,0.5,2515
5,5104,2,2,1e-05,0.001,0.5,2566
6,5104,2,2,1e-05,0.001,0.504,2541
7,5104,2,2,1e-05,0.001,0.5,2493
8,5104,2,2,1e-05,0.001,0.5479999999999999,2570
9,5104,2,2,1e-05,0.001,0.502,2572
10,5104,2,2,1e-05,0.001,0.5,2518
11,5104,2,2,1e-05,0.001,0.5,2511
12,5104,2,2,1e-05,0.001,0.486,2601
13,5104,2,2,1e-05,0.001,0.5,2534
14,5104,2,2,1e-05,0.001,0.496,2523
15,5104,2,2,1e-05,0.001,0.5,2573
16,5104,2,2,1e-05,0.001,0.514,2615
17,5104,2,2,1e-05,0.001,0.5,2540
18,5104,2,2,1e-05,0.001,0.49200000000000005,2525
19,5104,2,2,1e-05,0.001,0.5,2547
20,5104,2,2,1e-05,0.001,0.5,2564
1,10104,2,2,1e-05,0.001,0.486,5068
2,10104,2,2,1e-05,0.001,0.498,5005
3,10104,2,2,1e-05,0.001,0.5,4997
4,10104,2,2,1e-05,0.001,0.5,5030
5,10104,2,2,1e-05,0.001,0.5,5051
6,10104,2,2,1e-05,0.001,0.522,5009
7,10104,2,2,1e-05,0.001,0.5,5012
8,10104,2,2,1e-05,0.001,0.542,5080
9,10104,2,2,1e-05,0.001,0.498,5070
10,10104,2,2,1e-05,0.001,0.5,5032
11,10104,2,2,1e-05,0.001,0.5,5084
12,10104,2,2,1e-05,0.001,0.49200000000000005,5098
13,10104,2,2,1e-05,0.001,0.5,5114
14,10104,2,2,1e-05,0.001,0.498,4975
15,10104,2,2,1e-05,0.001,0.496,5081
16,10104,2,2,1e-05,0.001,0.51,5171
17,10104,2,2,1e-05,0.001,0.5,5097
18,10104,2,2,1e-05,0.001,0.498,4944
19,10104,2,2,1e-05,0.001,0.5,5010
20,10104,2,2,1e-05,0.001,0.5,5061
