trial,embed_dim,hidden_dim,alpha,learning_rate,premack_training,equality_accuracy,premack_accuracy
11,2,2,0.001,0.01,20,0.7305,0.509
11,2,2,0.001,0.01,40,0.7305,0.51
11,2,2,0.001,0.01,60,0.7305,0.509
11,2,2,0.001,0.01,80,0.7305,0.514
11,2,2,0.001,0.01,100,0.7305,0.516
11,2,2,0.001,0.01,120,0.7305,0.519
11,2,2,0.001,0.01,140,0.7305,0.516
11,2,2,0.001,0.01,160,0.7305,0.517
11,2,2,0.001,0.01,180,0.7305,0.52
11,2,2,0.001,0.01,200,0.7305,0.519
11,2,2,0.001,0.01,220,0.7305,0.512
11,2,2,0.001,0.01,240,0.7305,0.51
11,2,2,0.001,0.01,260,0.7305,0.507
11,2,2,0.001,0.01,280,0.7305,0.506
11,2,2,0.001,0.01,300,0.7305,0.514
11,2,2,0.001,0.01,320,0.7305,0.515
11,2,2,0.001,0.01,340,0.7305,0.518
11,2,2,0.001,0.01,360,0.7305,0.519
11,2,2,0.001,0.01,380,0.7305,0.518
11,2,2,0.001,0.01,400,0.7305,0.518
11,2,2,0.001,0.01,420,0.7305,0.522
11,2,2,0.001,0.01,440,0.7305,0.522
11,2,2,0.001,0.01,460,0.7305,0.523
11,2,2,0.001,0.01,480,0.7305,0.525
11,2,2,0.001,0.01,500,0.7305,0.526
11,2,2,0.001,0.01,520,0.7305,0.527
11,2,2,0.001,0.01,540,0.7305,0.528
11,2,2,0.001,0.01,560,0.7305,0.527
11,2,2,0.001,0.01,580,0.7305,0.528
11,2,2,0.001,0.01,600,0.7305,0.526
11,2,2,0.001,0.01,620,0.7305,0.526
11,2,2,0.001,0.01,640,0.7305,0.524
11,2,2,0.001,0.01,660,0.7305,0.523
11,2,2,0.001,0.01,680,0.7305,0.523
11,2,2,0.001,0.01,700,0.7305,0.523
11,2,2,0.001,0.01,720,0.7305,0.523
11,2,2,0.001,0.01,740,0.7305,0.522
11,2,2,0.001,0.01,760,0.7305,0.522
11,2,2,0.001,0.01,780,0.7305,0.524
11,2,2,0.001,0.01,800,0.7305,0.523
11,2,2,0.001,0.01,820,0.7305,0.522
11,2,2,0.001,0.01,840,0.7305,0.522
11,2,2,0.001,0.01,860,0.7305,0.524
11,2,2,0.001,0.01,880,0.7305,0.524
11,2,2,0.001,0.01,900,0.7305,0.524
11,2,2,0.001,0.01,920,0.7305,0.524
11,2,2,0.001,0.01,940,0.7305,0.525
11,2,2,0.001,0.01,960,0.7305,0.525
11,2,2,0.001,0.01,980,0.7305,0.525
12,2,2,0.001,0.01,0,0.7275,0.517
12,2,2,0.001,0.01,20,0.7275,0.519
12,2,2,0.001,0.01,40,0.7275,0.518
12,2,2,0.001,0.01,60,0.7275,0.517
12,2,2,0.001,0.01,80,0.7275,0.523
12,2,2,0.001,0.01,100,0.7275,0.522
12,2,2,0.001,0.01,120,0.7275,0.531
12,2,2,0.001,0.01,140,0.7275,0.531
12,2,2,0.001,0.01,160,0.7275,0.53
12,2,2,0.001,0.01,180,0.7275,0.527
