trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
10,40,2,2,1e-05,0.001,0.5,20
11,40,2,2,1e-05,0.001,0.506,20
12,40,2,2,1e-05,0.001,0.5,21
13,40,2,2,1e-05,0.001,0.5,23
14,40,2,2,1e-05,0.001,0.526,23
15,40,2,2,1e-05,0.001,0.5,23
16,40,2,2,1e-05,0.001,0.48,15
17,40,2,2,1e-05,0.001,0.5,19
18,40,2,2,1e-05,0.001,0.504,24
19,40,2,2,1e-05,0.001,0.5,18
20,40,2,2,1e-05,0.001,0.5,17
1,104,2,2,1e-05,0.001,0.5,41
2,104,2,2,1e-05,0.001,0.456,48
3,104,2,2,1e-05,0.001,0.556,55
4,104,2,2,1e-05,0.001,0.5,57
5,104,2,2,1e-05,0.001,0.5,51
6,104,2,2,1e-05,0.001,0.516,54
7,104,2,2,1e-05,0.001,0.504,54
8,104,2,2,1e-05,0.001,0.516,42
9,104,2,2,1e-05,0.001,0.5,47
10,104,2,2,1e-05,0.001,0.5,54
11,104,2,2,1e-05,0.001,0.506,52
12,104,2,2,1e-05,0.001,0.5,54
13,104,2,2,1e-05,0.001,0.5,56
14,104,2,2,1e-05,0.001,0.526,55
15,104,2,2,1e-05,0.001,0.5,62
16,104,2,2,1e-05,0.001,0.47600000000000003,53
17,104,2,2,1e-05,0.001,0.5,53
18,104,2,2,1e-05,0.001,0.504,48
19,104,2,2,1e-05,0.001,0.5,48
20,104,2,2,1e-05,0.001,0.5,57
1,5104,2,2,1e-05,0.001,0.5,2557
2,5104,2,2,1e-05,0.001,0.45399999999999996,2584
3,5104,2,2,1e-05,0.001,0.574,2582
4,5104,2,2,1e-05,0.001,0.5,2578
5,5104,2,2,1e-05,0.001,0.5,2530
6,5104,2,2,1e-05,0.001,0.53,2569
7,5104,2,2,1e-05,0.001,0.524,2563
8,5104,2,2,1e-05,0.001,0.534,2535
9,5104,2,2,1e-05,0.001,0.5,2577
10,5104,2,2,1e-05,0.001,0.5,2525
11,5104,2,2,1e-05,0.001,0.51,2569
12,5104,2,2,1e-05,0.001,0.5,2490
13,5104,2,2,1e-05,0.001,0.5,2516
14,5104,2,2,1e-05,0.001,0.5379999999999999,2629
15,5104,2,2,1e-05,0.001,0.5,2529
16,5104,2,2,1e-05,0.001,0.478,2494
17,5104,2,2,1e-05,0.001,0.5,2557
18,5104,2,2,1e-05,0.001,0.514,2536
19,5104,2,2,1e-05,0.001,0.5,2563
20,5104,2,2,1e-05,0.001,0.5,2543
1,10104,2,2,1e-05,0.001,0.5,5041
2,10104,2,2,1e-05,0.001,0.44,5043
3,10104,2,2,1e-05,0.001,0.632,5109
4,10104,2,2,1e-05,0.001,0.5,5055
5,10104,2,2,1e-05,0.001,0.5,5078
6,10104,2,2,1e-05,0.001,0.546,5040
7,10104,2,2,1e-05,0.001,0.568,5074
8,10104,2,2,1e-05,0.001,0.5479999999999999,5062
9,10104,2,2,1e-05,0.001,0.5,5040
10,10104,2,2,1e-05,0.001,0.5,4987
11,10104,2,2,1e-05,0.001,0.522,5067
12,10104,2,2,1e-05,0.001,0.5,5012
13,10104,2,2,1e-05,0.001,0.5,5073
